,function.,variable,copy_number,plant_nr
451,09101 Carbohydrate metabolism,C7_A,17.72349769,C7
452,09102 Energy metabolism,C7_A,8.231033328,C7
453,09103 Lipid metabolism,C7_A,4.698498973,C7
454,09104 Nucleotide metabolism,C7_A,3.844078077,C7
455,09105 Amino acid metabolism,C7_A,9.974605895,C7
456,09106 Metabolism of other amino acids,C7_A,1.57853688,C7
457,09107 Glycan biosynthesis and metabolism,C7_A,2.928235248,C7
458,09108 Metabolism of cofactors and vitamins,C7_A,5.288073272,C7
459,09122 Translation,C7_A,13.19181905,C7
460,09124 Replication and repair,C7_A,1.22007769,C7
461,09131 Membrane transport,C7_A,1.933193702,C7
462,09132 Signal transduction,C7_A,1.279188292,C7
463,09142 Cell motility,C7_A,2.976675294,C7
464,09181 Protein families: metabolism,C7_A,2.505606656,C7
465,09182 Protein families: genetic information processing,C7_A,9.194821051,C7
466,09183 Protein families: signaling and cellular processes,C7_A,3.726441868,C7
467,09191 Unclassified: metabolism,C7_A,5.372261624,C7
468,Other,C7_A,4.333355404,C7
469,09101 Carbohydrate metabolism,C7_B,17.11295254,C7
470,09102 Energy metabolism,C7_B,8.369112619,C7
471,09103 Lipid metabolism,C7_B,4.570987935,C7
472,09104 Nucleotide metabolism,C7_B,3.921891149,C7
473,09105 Amino acid metabolism,C7_B,9.803154634,C7
474,09106 Metabolism of other amino acids,C7_B,1.521669214,C7
475,09107 Glycan biosynthesis and metabolism,C7_B,3.410171893,C7
476,09108 Metabolism of cofactors and vitamins,C7_B,5.317031544,C7
477,09122 Translation,C7_B,13.94918492,C7
478,09124 Replication and repair,C7_B,1.157211618,C7
479,09131 Membrane transport,C7_B,1.883551459,C7
480,09132 Signal transduction,C7_B,1.190455104,C7
481,09142 Cell motility,C7_B,2.856962963,C7
482,09181 Protein families: metabolism,C7_B,2.281588866,C7
483,09182 Protein families: genetic information processing,C7_B,9.42169612,C7
484,09183 Protein families: signaling and cellular processes,C7_B,4.032248012,C7
485,09191 Unclassified: metabolism,C7_B,5.028541772,C7
