,OTU_ID,sample,Sample_Depth,plant_nr,Site,abun,Guild
731,348,J11_C,,J11,El Junco,0.212608615,Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotro
732,365,J11_C,,J11,El Junco,NA,Undefined Saprotroph
733,449,J11_C,,J11,El Junco,4.816047329,Undefined Saprotroph
734,452,J11_C,,J11,El Junco,2.67147347,Soil Saprotroph
735,472,J11_C,,J11,El Junco,3.22610464,Arbuscular Mycorrhizal
736,482,J11_C,,J11,El Junco,0.452948789,Undefined Saprotroph
737,484,J11_C,,J11,El Junco,34.91403217,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph
738,1_Other,J11_C,,J11,El Junco,15.40025883,Other
739,14,J12_A,,J12,El Junco,NA,Undefined Saprotroph
740,48,J12_A,,J12,El Junco,1.843463605,Animal Pathogen-Plant Pathogen-Undefined Saprotroph
741,73,J12_A,,J12,El Junco,NA,Undefined Saprotroph
742,128,J12_A,,J12,El Junco,5.604129358,Undefined Saprotroph
743,156,J12_A,,J12,El Junco,6.594332666,Endophyte
744,160,J12_A,,J12,El Junco,NA,Undefined Saprotroph
745,234,J12_A,,J12,El Junco,1.21141894,Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph
746,244,J12_A,,J12,El Junco,0.115874855,Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph
747,247,J12_A,,J12,El Junco,8.522068893,Plant Pathogen
748,260,J12_A,,J12,El Junco,0.052670389,Fungal Parasite
749,348,J12_A,,J12,El Junco,NA,Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotro
750,365,J12_A,,J12,El Junco,NA,Undefined Saprotroph
751,449,J12_A,,J12,El Junco,19.86727062,Undefined Saprotroph
752,452,J12_A,,J12,El Junco,11.31359949,Soil Saprotroph
753,472,J12_A,,J12,El Junco,4.424312651,Arbuscular Mycorrhizal
754,482,J12_A,,J12,El Junco,0.168545244,Undefined Saprotroph
755,484,J12_A,,J12,El Junco,19.44590751,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph
756,1_Other,J12_A,,J12,El Junco,20.83640577,Other
757,14,J12_B,,J12,El Junco,NA,Undefined Saprotroph
758,48,J12_B,,J12,El Junco,2.001488711,Animal Pathogen-Plant Pathogen-Undefined Saprotroph
759,73,J12_B,,J12,El Junco,NA,Undefined Saprotroph
760,128,J12_B,,J12,El Junco,8.469109255,Undefined Saprotroph
761,156,J12_B,,J12,El Junco,6.508973617,Endophyte
762,160,J12_B,,J12,El Junco,NA,Undefined Saprotroph
763,234,J12_B,,J12,El Junco,6.508973617,Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph
764,244,J12_B,,J12,El Junco,NA,Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph
765,247,J12_B,,J12,El Junco,8.072119758,Plant Pathogen
766,260,J12_B,,J12,El Junco,0.206765363,Fungal Parasite
767,348,J12_B,,J12,El Junco,0.041353073,Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotro
768,365,J12_B,,J12,El Junco,NA,Undefined Saprotroph
769,449,J12_B,,J12,El Junco,17.72392689,Undefined Saprotroph
770,452,J12_B,,J12,El Junco,11.2314945,Soil Saprotroph
771,472,J12_B,,J12,El Junco,6.260855182,Arbuscular Mycorrhizal
772,482,J12_B,,J12,El Junco,0.289471508,Undefined Saprotroph
